"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"160","ENSG00000117115","PADI2","1",17066761,17119451,"peptidyl arginine deiminase 2 [Source:HGNC Symbol;Acc:HGNC:18341]",19.3101768422926,2.73987291168381,0.56730017916614,4.82967045015054,1.36759202592345e-06,0.00042005932875237,1.225358015445
"36","ENSG00000069011","PITX1","5",135027734,135034813,"paired like homeodomain 1 [Source:HGNC Symbol;Acc:HGNC:9004]",19.6999970658547,2.72234065185234,0.658047741557293,4.13699566145433,3.5188276014627e-05,0.00352108268489287,1.16421421663173
"377","ENSG00000163017","ACTG2","2",73892314,73919865,"actin gamma 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:145]",144.758314477628,2.69713769497279,0.588057913041292,4.58651713574238,4.50701426921436e-06,0.000938003284603284,1.35632231613221
"313","ENSG00000148677","ANKRD1","10",90912096,90921276,"ankyrin repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:15819]",1839.04472648777,2.682960888817,0.49478769698465,5.42244866872718,5.87880991783317e-08,4.02091795471075e-05,1.67254165996406
"159","ENSG00000117069","ST6GALNAC5","1",76867480,77067546,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:19342]",153.517194115964,2.64041011249493,0.58799298279831,4.49054697885847,7.10405035629613e-06,0.0012301123638783,1.35632231613221
"211","ENSG00000130755","GMFG","19",39328353,39342372,"glia maturation factor gamma [Source:HGNC Symbol;Acc:HGNC:4374]",44.2035966250795,2.63546225226363,0.614092109978323,4.29163998273265,1.77358339264981e-05,0.00187631143091949,1.64840351543516
"418","ENSG00000168427","KLHL30","2",238138668,238152947,"kelch like family member 30 [Source:HGNC Symbol;Acc:HGNC:24770]",14.9435442656134,2.63383848894102,0.780862866383379,3.37298468441691,0.000743580885608603,0.0239618971411972,1.16421421663173
"505","ENSG00000186369","LINC00643","14",62114353,62130962,"long intergenic non-protein coding RNA 643 [Source:HGNC Symbol;Acc:HGNC:44296]",17.2631484537187,2.61981579603156,0.842198905648046,3.11068534815501,0.00186653714528669,0.0427104175364182,1.16421421663173
"272","ENSG00000140030","GPR65","14",88005135,88014811,"G protein-coupled receptor 65 [Source:HGNC Symbol;Acc:HGNC:4517]",23.858853238432,2.60532976221008,0.506975472238468,5.13896609377702,2.76254235472701e-07,0.000182746220081431,0.870165857968658
"66","ENSG00000087510","TFAP2C","20",56629306,56639283,"transcription factor AP-2 gamma [Source:HGNC Symbol;Acc:HGNC:11744]",59.6034989571584,2.60271539747119,0.713449248845155,3.64807363899276,0.000264213917572127,0.0118796376529981,1.38201636656054
"496","ENSG00000182985","CADM1","11",115169218,115504957,"cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5951]",61.1468094745392,2.57951936297561,0.669610572526505,3.85226797307401,0.000117028849809156,0.00725798848974732,1.35632231613221
"284","ENSG00000141668","CBLN2","18",72536680,72638521,"cerebellin 2 precursor [Source:HGNC Symbol;Acc:HGNC:1544]",15.7867792886541,2.57525245344082,0.63349653803337,4.0651405316838,4.80035285234473e-05,0.00430770164638774,1.16421421663173
"473","ENSG00000177675","CD163L1","12",7346685,7479897,"CD163 molecule like 1 [Source:HGNC Symbol;Acc:HGNC:30375]",24.5094267935173,2.55296077638034,0.717138856681399,3.55992532352007,0.00037096026760895,0.0152247467576978,1.225358015445
"191","ENSG00000125266","EFNB2","13",106489745,106535662,"ephrin B2 [Source:HGNC Symbol;Acc:HGNC:3227]",151.137094828113,2.54042368992285,0.429108110733212,5.92024160434081,3.21469006216645e-09,7.13393468568097e-06,1.6810758150976
"301","ENSG00000145681","HAPLN1","5",83637805,83721613,"hyaluronan and proteoglycan link protein 1 [Source:HGNC Symbol;Acc:HGNC:2380]",214.352508557883,2.5073816975206,0.665505739102182,3.76763347060425,0.000164802432590962,0.00865315333721698,1.42469375367528
"430","ENSG00000170323","FABP4","8",81478419,81483263,"fatty acid binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3559]",26.7790921334753,2.46568081933784,0.739198191629442,3.33561532922943,0.000851108427456385,0.0289862395971186,1.00231962717157
"250","ENSG00000137672","TRPC6","11",101451564,101872562,"transient receptor potential cation channel subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:12338]",147.99677751517,2.32490023626006,0.550005886593455,4.22704609701486,2.36779173802187e-05,0.00216488337950092,1.6810758150976
"149","ENSG00000115165","CYTIP","2",157414619,157488961,"cytohesin 1 interacting protein [Source:HGNC Symbol;Acc:HGNC:9506]",16.6540632554405,2.31052876629508,0.65601656113198,3.52205859301506,0.000428209488792248,0.0170537996738222,1.16421421663173
"433","ENSG00000170571","EMB","5",50396192,50443248,"embigin [Source:HGNC Symbol;Acc:HGNC:30465]",613.536858316501,2.29583705968403,0.456851597626852,5.02534536731385,5.02527343901561e-07,0.000151496953963934,2.16398853778351
"304","ENSG00000145936","KCNMB1","5",170374671,170389634,"potassium calcium-activated channel subfamily M regulatory beta subunit 1 [Source:HGNC Symbol;Acc:HGNC:6285]",48.0700301279964,2.26906083366729,0.527536979004763,4.30123559858882,1.69848354261424e-05,0.00200441352565246,1.38201636656054
"422","ENSG00000169129","AFAP1L2","10",114294824,114404756,"actin filament associated protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:25901]",31.3050063295165,2.22385451122965,0.606078282326903,3.66925292668739,0.000243260314786463,0.0143969740007084,0.870165857968658
"524","ENSG00000196557","CACNA1H","16",1153106,1221771,"calcium voltage-gated channel subunit alpha1 H [Source:HGNC Symbol;Acc:HGNC:1395]",159.636068050466,2.18628753636626,0.457058070267081,4.78339116753526,1.72362233480155e-06,0.000442592748352521,1.42469375367528
"12","ENSG00000011201","ANOS1","X",8528874,8732137,"anosmin 1 [Source:HGNC Symbol;Acc:HGNC:6211]",192.187056344766,2.18420187653759,0.526412716754171,4.14921943756459,3.33610894271187e-05,0.00308583806794273,1.35632231613221
"346","ENSG00000156453","PCDH1","5",141853111,141879246,"protocadherin 1 [Source:HGNC Symbol;Acc:HGNC:8655]",124.776459559551,2.16428255392032,0.513157257288903,4.21758149802771,2.46936582304869e-05,0.00210808513272925,1.80990324850642
"170","ENSG00000118946","PCDH17","13",57631744,57729311,"protocadherin 17 [Source:HGNC Symbol;Acc:HGNC:14267]",11.3068240761559,2.1559539796903,0.567054632903822,3.80202162999694,0.000143520193833393,0.00996107016928762,1.00231962717157
"275","ENSG00000140557","ST8SIA2","15",92393881,92468728,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10870]",58.9046119015135,2.14962486116394,0.517233285962918,4.15600642785787,3.23858715735205e-05,0.00295255607808886,1.38201636656054
"124","ENSG00000107796","ACTA2","10",88935074,88991339,"actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]",7478.59078866134,2.12259848330206,0.352137537443448,6.02775409492646,1.66253746035868e-09,4.11007260831577e-06,2.375
"342","ENSG00000154553","PDLIM3","4",185500660,185535612,"PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767]",258.315159203852,2.11754639768012,0.399537335465968,5.29999629499078,1.15805030797983e-07,5.61253961956324e-05,2.08872700428257
"151","ENSG00000115468","EFHD1","2",232606057,232682780,"EF-hand domain family member D1 [Source:HGNC Symbol;Acc:HGNC:29556]",206.794380677483,2.11405107789294,0.521432992580106,4.05431015677084,5.02824660361266e-05,0.00349838192180875,1.6810758150976
"477","ENSG00000178776","C5orf46","5",147880726,147906538,"chromosome 5 open reading frame 46 [Source:HGNC Symbol;Acc:HGNC:33768]",127.138694823123,2.10311545710033,0.548761371458719,3.83247722322332,0.000126859347784017,0.00678613154830239,1.64840351543516
"542","ENSG00000198113","TOR4A","9",137277726,137282641,"torsin family 4 member A [Source:HGNC Symbol;Acc:HGNC:25981]",1986.30394698557,2.09346306609612,0.622808459654993,3.36132728071131,0.000775688533199525,0.0167130241101739,2.17655512739692
"440","ENSG00000171587","DSCAM","21",40010999,40847158,"DS cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:3039]",17.4654494061011,2.09293526855579,0.566745291002799,3.69290279386803,0.000221708785546245,0.0122664286675358,1.08731809664997
"286","ENSG00000142623","PADI1","1",17205128,17246007,"peptidyl arginine deiminase 1 [Source:HGNC Symbol;Acc:HGNC:18367]",12.5252115942037,2.09196477264353,0.513119151746217,4.07695710737804,4.56289058510532e-05,0.00513131213933707,0.870165857968658
"586","ENSG00000281459","PADI1","CHR_HG2095_PATCH",17205128,17246007,"peptidyl arginine deiminase 1 [Source:HGNC Symbol;Acc:HGNC:18367]",12.5252115942037,2.09196477264353,0.513119151746217,4.07695710737804,4.56289058510532e-05,0.00513131213933707,0.870165857968658
"314","ENSG00000149201","CCDC81","11",86374736,86423109,"coiled-coil domain containing 81 [Source:HGNC Symbol;Acc:HGNC:26281]",64.3982312301497,2.09159826703261,0.489174994844274,4.27576693223754,1.90480418261252e-05,0.00187250378882764,1.80990324850642
"300","ENSG00000145244","CORIN","4",47593999,47838106,"corin, serine peptidase [Source:HGNC Symbol;Acc:HGNC:19012]",104.71172100477,2.07524207674819,0.372189968378021,5.57576037256446,2.46450982870506e-08,2.66716156553461e-05,1.35632231613221
"186","ENSG00000123388","HOXC11","12",53973126,53977643,"homeobox C11 [Source:HGNC Symbol;Acc:HGNC:5123]",16.0855167122355,2.05900912708611,0.522006068817953,3.94441607115527,7.99946635426498e-05,0.00634326230563347,1.16421421663173
"536","ENSG00000197565","COL4A6","X",108155607,108439497,"collagen type IV alpha 6 chain [Source:HGNC Symbol;Acc:HGNC:2208]",11.6520529413639,2.04926159147608,0.608601942522994,3.36716242307862,0.000759459439852239,0.0242413201852132,1.16421421663173
"144","ENSG00000113319","RASGRF2","5",80960363,81230162,"Ras protein specific guanine nucleotide releasing factor 2 [Source:HGNC Symbol;Acc:HGNC:9876]",88.0875234460577,2.04497240077876,0.610152694328361,3.35157481035106,0.000803533254864891,0.0225181722083944,1.38201636656054
"449","ENSG00000173114","LRRN3","7",111091006,111125454,"leucine rich repeat neuronal 3 [Source:HGNC Symbol;Acc:HGNC:17200]",223.316843992016,2.03557537294896,0.472462829575675,4.30843496149132,1.6441380805332e-05,0.00180747131878843,1.64840351543516
"347","ENSG00000156466","GDF6","8",96142333,96160806,"growth differentiation factor 6 [Source:HGNC Symbol;Acc:HGNC:4221]",353.829818287426,2.01670784944024,0.359660716176339,5.60725083039501,2.05565643062199e-08,2.35495441213267e-05,1.49744278276329
"32","ENSG00000067715","SYT1","12",78863993,79452008,"synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:11509]",143.968661350985,1.99522531555536,0.478335805514041,4.17118119228227,3.03024786881588e-05,0.00248694717984326,1.64840351543516
"489","ENSG00000181634","TNFSF15","9",114784652,114806039,"TNF superfamily member 15 [Source:HGNC Symbol;Acc:HGNC:11931]",15.9923912291604,1.97389678451304,0.541524459066165,3.64507410785643,0.000267314760596424,0.0140060789662999,1.00231962717157
"297","ENSG00000144908","ALDH1L1","3",126103562,126197994,"aldehyde dehydrogenase 1 family member L1 [Source:HGNC Symbol;Acc:HGNC:3978]",17.0470687368847,1.9272672527762,0.573041515666679,3.3632244786558,0.000770376928686318,0.0295010173667714,0.870165857968658
"326","ENSG00000151468","CCDC3","10",12896625,13099652,"coiled-coil domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23813]",78.1993897693116,1.92659043029237,0.448268499735541,4.29784923863483,1.72463397034541e-05,0.00187250378882764,1.64840351543516
"333","ENSG00000152804","HHEX","10",92689955,92695647,"hematopoietically expressed homeobox [Source:HGNC Symbol;Acc:HGNC:4901]",12.2723880202795,1.92577198147722,0.550931882659029,3.49548109683295,0.000473207970346058,0.0197433287433879,1.00231962717157
"425","ENSG00000169508","GPR183","13",99294539,99307399,"G protein-coupled receptor 183 [Source:HGNC Symbol;Acc:HGNC:3128]",47.1458245945601,1.92206169227752,0.54658048171414,3.51652090877762,0.000437242219306459,0.0139859086850321,1.64840351543516
"386","ENSG00000164176","EDIL3","5",83940554,84384880,"EGF like repeats and discoidin domains 3 [Source:HGNC Symbol;Acc:HGNC:3173]",5710.99386057792,1.91980541041213,0.324564304852962,5.91502325334842,3.31828699784562e-09,7.13393468568097e-06,2.03957481407754
"576","ENSG00000261150","EPPK1","8",143857324,143878464,"epiplakin 1 [Source:HGNC Symbol;Acc:HGNC:15577]",23.2168507001558,1.90083817377024,0.495366951813811,3.83723251381672,0.000124428649158525,0.00861411838201803,1.08731809664997
"19","ENSG00000047365","ARAP2","4",35948221,36244514,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16924]",14.0718073975785,1.88359120938445,0.57961233057622,3.24974316455946,0.0011550927827908,0.034902834283683,1.00231962717157
"444","ENSG00000172137","CALB2","16",71358713,71390436,"calbindin 2 [Source:HGNC Symbol;Acc:HGNC:1435]",217.418075653686,1.87106598542301,0.530279140848654,3.52845481047695,0.000417993308225645,0.0136841734453861,1.64840351543516
"592","ENSG00000282830","CALB2","CHR_HSCHR16_4_CTG3_1",71363481,71395224,"calbindin 2 [Source:HGNC Symbol;Acc:HGNC:1435]",217.462956981607,1.87060083087936,0.530305253862265,3.5274039192627,0.000419656037229799,0.0154137301233956,1.35632231613221
"384","ENSG00000163618","CADPS","3",62398346,62875416,"calcium dependent secretion activator [Source:HGNC Symbol;Acc:HGNC:1426]",58.4754367918385,1.84841875842088,0.451210842981992,4.09657433364173,4.19308888664884e-05,0.00311595071061627,1.6810758150976
"503","ENSG00000185860","CCDC190","1",162824458,162868815,"coiled-coil domain containing 190 [Source:HGNC Symbol;Acc:HGNC:28736]",18.2619122688684,1.79985679228141,0.515361217942313,3.49241799658056,0.000478668545631569,0.0181233899637927,1.16421421663173
"428","ENSG00000169860","P2RY1","3",152835131,152841439,"purinergic receptor P2Y1 [Source:HGNC Symbol;Acc:HGNC:8539]",9.7775788079145,1.79722009490748,0.37734316717887,4.76282665549249,1.90899821099772e-06,0.000611206487901056,1.00231962717157
"271","ENSG00000139970","RTN1","14",59595976,59870776,"reticulon 1 [Source:HGNC Symbol;Acc:HGNC:10467]",63.7732060133988,1.79653662105549,0.464505900459284,3.86762927936792,0.000109898568773073,0.00698269452858548,1.35632231613221
"230","ENSG00000134762","DSC3","18",30989365,31042815,"desmocollin 3 [Source:HGNC Symbol;Acc:HGNC:3037]",49.2875963476108,1.78395412195738,0.58550772388046,3.04684985218333,0.00231253192778435,0.0370649602162495,1.80990324850642
"164","ENSG00000117586","TNFSF4","1",173183731,173207331,"TNF superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11934]",329.0172486655,1.77772072849632,0.459503888239838,3.86878277636781,0.000109380032885153,0.00573763384974656,1.80990324850642
"122","ENSG00000107105","ELAVL2","9",23690104,23826337,"ELAV like RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3313]",10.4488657232592,1.76331595532936,0.514083842380809,3.43001629299055,0.000603545007133762,0.0207344431422452,1.16421421663173
"17","ENSG00000034053","APBA2","15",28884483,29118315,"amyloid beta precursor protein binding family A member 2 [Source:HGNC Symbol;Acc:HGNC:579]",49.4316640700306,1.76020290895753,0.499908504073865,3.52105014140237,0.000429841328325709,0.0131797997243898,1.80990324850642
"134","ENSG00000111348","ARHGDIB","12",14942031,14961728,"Rho GDP dissociation inhibitor beta [Source:HGNC Symbol;Acc:HGNC:679]",284.144546703319,1.75841565512076,0.497086849784609,3.5374415072189,0.000404023666042757,0.0119375324059578,2.08872700428257
"486","ENSG00000180777","ANKRD30B","18",14728272,14854038,"ankyrin repeat domain 30B [Source:HGNC Symbol;Acc:HGNC:24165]",20.7288950372173,1.74306289389034,0.52890832191053,3.29558606223858,0.000982166148514308,0.0344444713142071,0.870165857968658
"255","ENSG00000137872","SEMA6D","15",47184101,47774223,"semaphorin 6D [Source:HGNC Symbol;Acc:HGNC:16770]",151.272633628925,1.73696821647494,0.528329883480879,3.28765847017966,0.00101024314042865,0.0233356376742323,1.64840351543516
"320","ENSG00000149596","JPH2","20",44111695,44187578,"junctophilin 2 [Source:HGNC Symbol;Acc:HGNC:14202]",256.995349447776,1.72540923523917,0.331960943627736,5.19762721597171,2.01848399745994e-07,9.35434923107181e-05,1.80990324850642
"589","ENSG00000282607","MGAM","CHR_HSCHR7_2_CTG6",142038524,142106747,"maltase-glucoamylase [Source:HGNC Symbol;Acc:HGNC:7043]",99.2696147820108,1.69686941245461,0.397709416796476,4.26660607164594,1.98469152831972e-05,0.00194846503795256,1.6810758150976
"487","ENSG00000180818","HOXC10","12",53985065,53990279,"homeobox C10 [Source:HGNC Symbol;Acc:HGNC:5122]",156.140523858225,1.65767289290796,0.482178650099723,3.43788115165431,0.000586284960405178,0.0165344348454655,1.6810758150976
"507","ENSG00000187123","LYPD6","2",149329985,149474138,"LY6/PLAUR domain containing 6 [Source:HGNC Symbol;Acc:HGNC:28751]",86.6028278393859,1.6439061356502,0.468523513888369,3.50869505354618,0.000450310898554764,0.0158930081528789,1.38201636656054
"518","ENSG00000189410","SH2D5","1",20719731,20732837,"SH2 domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28819]",270.527118220282,1.63924396093532,0.376340172396181,4.35575067763337,1.3261165361356e-05,0.00141200992901098,2.08872700428257
"437","ENSG00000171435","KSR2","12",117453012,117968983,"kinase suppressor of ras 2 [Source:HGNC Symbol;Acc:HGNC:18610]",19.2659242532532,1.6389557776447,0.45530380528826,3.59969707832127,0.000318588099239305,0.0148818446622037,1.08731809664997
"545","ENSG00000198523","PLN","6",118548296,118561716,"phospholamban [Source:HGNC Symbol;Acc:HGNC:9080]",9.3928753408549,1.63414527405177,0.508778475331758,3.21189938899477,0.00131860545305841,0.0375687885470847,1.00231962717157
"413","ENSG00000167641","PPP1R14A","19",38251237,38256532,"protein phosphatase 1 regulatory inhibitor subunit 14A [Source:HGNC Symbol;Acc:HGNC:14871]",387.712369515199,1.62657120957251,0.530142591699501,3.06817681702981,0.00215369144195969,0.0356462394362265,1.80990324850642
"423","ENSG00000169432","SCN9A","2",166195185,166376001,"sodium voltage-gated channel alpha subunit 9 [Source:HGNC Symbol;Acc:HGNC:10597]",768.769835593328,1.62331903762775,0.407469734445475,3.98390088980945,6.77931554084602e-05,0.00417044891196743,1.71908098672054
"47","ENSG00000075275","CELSR1","22",46360834,46537170,"cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850]",54.2098571564315,1.59807137978349,0.279176774234745,5.72422754064691,1.0390541252584e-08,1.68226196766558e-05,1.64840351543516
"161","ENSG00000117152","RGS4","1",163068775,163076802,"regulator of G protein signaling 4 [Source:HGNC Symbol;Acc:HGNC:10000]",12160.5357490299,1.58663892174837,0.374066848475307,4.24159191923983,2.21939958635763e-05,0.00187913772682047,2.03957481407754
"162","ENSG00000117245","KIF17","1",20664014,20718017,"kinesin family member 17 [Source:HGNC Symbol;Acc:HGNC:19167]",65.730905093785,1.58631865955834,0.363683777765878,4.36180758268391,1.28992291743757e-05,0.00175193135906146,1.38201636656054
"85","ENSG00000101670","LIPG","18",49560699,49599185,"lipase G, endothelial type [Source:HGNC Symbol;Acc:HGNC:6623]",204.14818638393,1.5841764626746,0.445788159500761,3.55365307245649,0.000379920029359998,0.0143969740007084,1.35632231613221
"375","ENSG00000162654","GBP4","1",89181144,89198942,"guanylate binding protein 4 [Source:HGNC Symbol;Acc:HGNC:20480]",69.7183317267478,1.57778598119148,0.450861762444253,3.49948945024266,0.000466150050543472,0.0138518420378484,1.80990324850642
"438","ENSG00000171522","PTGER4","5",40679915,40693735,"prostaglandin E receptor 4 [Source:HGNC Symbol;Acc:HGNC:9596]",43.0635297751678,1.56969660169344,0.334795474270714,4.68852395664163,2.75182704650975e-06,0.000550654596755925,1.64840351543516
"569","ENSG00000240583","AQP1","7",30911694,30925517,"aquaporin 1 (Colton blood group) [Source:HGNC Symbol;Acc:HGNC:633]",484.533731213458,1.52722737690845,0.520398567408719,2.93472632815488,0.00333841987388086,0.0489090327795818,1.6810758150976
"296","ENSG00000144868","TMEM108","3",133038391,133397792,"transmembrane protein 108 [Source:HGNC Symbol;Acc:HGNC:28451]",14.8438271339248,1.51543999089358,0.481023964008433,3.15044593260017,0.00163021427339175,0.0388836975317604,1.17443105150401
"234","ENSG00000135083","CCNJL","5",160249106,160345396,"cyclin J like [Source:HGNC Symbol;Acc:HGNC:25876]",47.9327575195655,1.51226626909696,0.400954734763522,3.77166332750473,0.000162162959776764,0.00778441343681237,1.64840351543516
"262","ENSG00000139211","AMIGO2","12",47075707,47079951,"adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]",2021.88254755785,1.51003895246872,0.412080613798835,3.66442609019669,0.000247893809124229,0.00915557867659668,1.95297707556701
"396","ENSG00000164761","TNFRSF11B","8",118923557,118951885,"TNF receptor superfamily member 11b [Source:HGNC Symbol;Acc:HGNC:11909]",1292.03542391766,1.50776483386506,0.342872119961304,4.39745533709543,1.09527413447777e-05,0.00121089086388797,2.17655512739692
"71","ENSG00000092969","TGFB2","1",218345336,218444619,"transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]",364.886458316607,1.49755555351,0.394895932884478,3.79227900011846,0.000149271073485787,0.00786672832167603,1.49744278276329
"299","ENSG00000145242","EPHA5","4",65319563,65670495,"EPH receptor A5 [Source:HGNC Symbol;Acc:HGNC:3389]",172.843654727967,1.49457841722397,0.491421611413925,3.04133636476374,0.00235530549479715,0.0373970867178037,1.80990324850642
